Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
RBPAA,"Royal Bancshares of Pennsylvania, Inc.",1.5,16648260,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rbpaa
RGLD,"Royal Gold, Inc.",46.24,2988478715,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/rgld
ROYL,"Royale Energy, Inc.",2.61,38198294.82,n/a,1970,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/royl
FUND,"Royce Focus Trust, Inc.",7.56,164031807.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fund
RPXC,RPX Corporation,16.68,875281932.5,n/a,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/rpxc
RRST,RRSat Global Communications Network Ltd.,7.74,134262382.1,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/rrst
RTIX,"RTI Surgical, Inc.",2.96,166906298.5,n/a,2000,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/rtix
RBCN,"Rubicon Technology, Inc.",9.91,224547508.9,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/rbcn
RTEC,"Rudolph Technologies, Inc.",10.48,345231279.7,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/rtec
RUSHA,"Rush Enterprises, Inc.",28.58,1126068891,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/rusha
RUSHB,"Rush Enterprises, Inc.",24.36,256780489.6,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/rushb
RUTH,"Ruth&#39;s Hospitality Group, Inc.",13.08,465665971.9,n/a,2005,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/ruth
RYAAY,Ryanair Holdings plc,43.77,12461319000,n/a,1997,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/ryaay
STBA,"S&T Bancorp, Inc.",24.2,719666981,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stba
SANW,S&W Seed Company,5.35,62169396.8,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/sanw
SANWZ,S&W Seed Company,0.48,0,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/sanwz
SYBT,"S.Y. Bancorp, Inc.",30.18,439588570.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybt
SYBTP,"S.Y. Bancorp, Inc.",10.25,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sybtp
SBRA,"Sabra Healthcare REIT, Inc.",26.2,992506906.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sbra
SBRAP,"Sabra Healthcare REIT, Inc.",24.1,138575000,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/sbrap
SAEX,"SAExploration Holdings, Inc.",7.4,99179713.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/saex
SAFT,"Safety Insurance Group, Inc.",56.2,864884954.4,n/a,1993,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/saft
SGNT,"Sagent Pharmaceuticals, Inc.",22.25,706932629.3,n/a,1999,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/sgnt
SAIA,"Saia, Inc.",32.57,795517494.8,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/saia
SALM,Salem Communications Corporation,8.94,222754386.1,n/a,1992,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/salm
SAL,"Salisbury Bancorp, Inc.",26.3,44976182.3,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sal
SLXP,"Salix Pharmaceuticals, Ltd.",86.84,5462030623,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/slxp
SAFM,"Sanderson Farms, Inc.",67.4,1551120077,n/a,1987,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/safm
SNDK,SanDisk Corporation,66.25,14965309821,n/a,1995,Technology,Electronic Components,http://www.nasdaq.com/symbol/sndk
SASR,"Sandy Spring Bancorp, Inc.",26.7,667151271.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sasr
SGMO,"Sangamo BioSciences, Inc.",10.23,632185376.5,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/sgmo
SANM,Sanmina Corporation,15.13,1265336954,n/a,1993,Technology,Electrical Products,http://www.nasdaq.com/symbol/sanm
GCVRZ,Sanofi,0.495,0,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/gcvrz
SNTS,"Santarus, Inc.",31.96,2145737415,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/snts
SPNS,Sapiens International Corporation N.V.,6.93,273531223.4,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/spns
SAPE,Sapient Corporation,15.51,2174365202,n/a,1996,Technology,EDP Services,http://www.nasdaq.com/symbol/sape
SRPT,"Sarepta Therapeutics, Inc.",14.97,562607165.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/srpt
SBFG,"SB Financial Group, Inc.",7.88,38372676.52,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbfg
SBAC,SBA Communications Corporation,86.53,11109404727,n/a,1999,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/sbac
SCSC,"ScanSource, Inc.",41.04,1154745599,n/a,n/a,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/scsc
SMIT,"Schmitt Industries, Inc.",2.6699,7985430.609,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/smit
SCHN,"Schnitzer Steel Industries, Inc.",30.83,819081728.6,n/a,1993,Consumer Durables,Industrial Specialties,http://www.nasdaq.com/symbol/schn
SCHL,Scholastic Corporation,30.44,970724324.8,n/a,1992,Consumer Services,Books,http://www.nasdaq.com/symbol/schl
SCLN,"SciClone Pharmaceuticals, Inc.",4.63,245980329.6,n/a,1992,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/scln
SGMS,Scientific Games Corp,16.72,1424538900,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/sgms
SQI,"SciQuest, Inc.",29.53,701159079.7,n/a,2010,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sqi
SEAC,"SeaChange International, Inc.",13.8,453571417.2,n/a,1996,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/seac
SBCF,Seacoast Banking Corporation of Florida,2.14,203110672.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbcf
STX,Seagate Technology.,47.72,15563506070,n/a,1988,Technology,Electronic Components,http://www.nasdaq.com/symbol/stx
SHIP,Seanergy Maritime Holdings Corp,1.169,13980400.66,n/a,n/a,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/ship
SHLD,Sears Holdings Corporation,61.7,6569189560,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/shld
SHOS,"Sears Hometown and Outlet Stores, Inc.",30.79,713996114.6,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/shos
SGEN,"Seattle Genetics, Inc.",40.38,4945795702,n/a,2001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/sgen
SNFCA,Security National Financial Corporation,4.86,60795601.38,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/snfca
SEIC,SEI Investments Company,33.86,5776788675,n/a,1981,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seic
SCSS,Select Comfort Corporation,19.86,1097106120,n/a,1998,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/scss
SLTC,"Selectica, Inc.",6.4,24739603.2,n/a,1980,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sltc
SIGI,"Selective Insurance Group, Inc.",26.61,1484168785,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/sigi
LEDS,SemiLEDS Corporation,1.0101,28041163.88,n/a,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/leds
SMTC,Semtech Corporation,29.45,2004167388,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/smtc
SENEA,Seneca Foods Corp.,29.51,317097816.4,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/senea
SENEB,Seneca Foods Corp.,29.78,60417664,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/seneb
SNMX,"Senomyx, Inc.",3.97,161934053,n/a,2004,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/snmx
SQNM,"Sequenom, Inc.",2.71,313593070,n/a,2000,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sqnm
SQBG,"Sequential Brands Group, Inc.",5.33,133461355.8,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/sqbg
SREV,"ServiceSource International, Inc.",9.25,750137491.3,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/srev
SEV,"Sevcon, Inc.",5,17371940,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sev
SVBI,Severn Bancorp Inc,4.65,46810057.35,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/svbi
SFXE,"SFX Entertainment, Inc.",8.1,652161950.1,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/sfxe
SGOC,"SGOCO Group, Ltd",6.73,118854195.9,n/a,2010,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/sgoc
GAME,Shanda Games Limited,4.08,1091052723,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/game
SMED,Sharps Compliance Corp,4.79,73446789.61,n/a,n/a,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/smed
SHEN,Shenandoah Telecommunications Co,23.37,561265581.6,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shen
SHFL,"SHFL Entertainment, Inc.",23.16,1311405981,n/a,1992,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/shfl
SHLO,"Shiloh Industries, Inc.",19.43,330540167.8,n/a,1993,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/shlo
SHPG,Shire plc,135.05,25323492089,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/shpg
SCVL,"Shoe Carnival, Inc.",25.7,526603948.2,n/a,1993,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/scvl
SHBI,Shore Bancshares Inc,9.15,77420794.35,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/shbi
SHOR,"ShoreTel, Inc.",7.38,445504998.8,n/a,1986,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/shor
SFLY,"Shutterfly, Inc.",47.899,1821877982,n/a,2006,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/sfly
